number,content,sentiment,sentiment_score,stance,stance_score
1156,スコアレスドローじゃなくてしょうもない失点での引き分け多いのがなぁ,neutral (0.697),0.697,強く反対 (0.236),0.236
1157,しょうもない失点は個々の選手の質や年齢がビッグ6より低いから仕方ない 前節の前半はダンクイゴール以外25歳以下の若者しかいなかったし,neutral (0.727),0.727,強く反対 (0.247),0.247
1158,忘れがちだけどフィジカル強者が多いプレミアで育成のために即戦力でもない若手を頻繁に使ってるってけっこうな舐めプだよな それでプレミアで降格しないのが凄いところだし三笘達の力でもあるんだけど,neutral (0.741),0.741,強く賛成 (0.230),0.23
1159,ってか本当に異常なくらいケガ人多すぎない 特にカップ戦があるわけでもないのに,neutral (0.780),0.78,中立 (0.241),0.241
1160,遅効戦術のせいだよ 攻撃が遅いとマークの人数が増えて張り付かれるし 前線のボディコンタクトも増える,neutral (0.739),0.739,強く反対 (0.220),0.22
1161,ハイプレスショートカウンターやったらもっと壊れるぞ,neutral (0.697),0.697,強く反対 (0.233),0.233
1162,最初はDFラインにかなり強度高くプレスしてたけど最近疲労とリスクを考慮してるのか明確なプレスの掛けどころ以外は引き気味に守ってるよね 三笘ルターあたりのプレスをサボらないスタメン組の疲労がだいぶ溜まってる アディングラやファーガソンは出番もらってるうちはハードワークだけでも頑張ってほしいわ,neutral (0.691),0.691,強く反対 (0.244),0.244
1163,ウェルベックもヒンシェルもまだ出れないらしいね 前回のアーセナル戦は前半途中にヒンシェルに偽SBをやらせて上手くいったけどあれ凄かったな この2人がいないのもきつそう,neutral (0.743),0.743,強く反対 (0.230),0.23
1164,このチーム怪我人多すぎじゃないか,neutral (0.763),0.763,強く反対 (0.251),0.251
1165,確かプレミアチームで1番か2番目に怪我人多いよ,neutral (0.758),0.758,強く反対 (0.249),0.249
1166,若い選手が多いからだよ 若手ってのは基本的に怪我しやすい,neutral (0.780),0.78,強く反対 (0.234),0.234
1167,サカうでごぬき中2日アーセナルに勝てんと未来ない頑張れ,neutral (0.783),0.783,強く反対 (0.219),0.219
1168,夏にフリーか冬に20mか延長か こんな状況になる前に動かなかったフロントが悪い,neutral (0.735),0.735,強く反対 (0.244),0.244
1169,木曜のデイリーテレグラフスポーツレアルアレクサンダーアーノルド獲得に2000万ポンドでリバプールを試す,neutral (0.767),0.767,強く反対 (0.226),0.226
1170,アーノルドは意地でも残したい選手でもないし 別にレアルいってもいいけどな,neutral (0.753),0.753,強く反対 (0.233),0.233
1171,冬にアリバイオファー出して夏にフリーでとるマドリーのいつものやつ 払うはずだった移籍金の一部をボーナスにすることで マドリーもアーノルドもwinwin 残留させるとなると契約金も払わないと悪いからパリみたいに多額の金が必要,neutral (0.709),0.709,強く反対 (0.227),0.227
1172,DFの選手は大金貰えるわけじゃないし フリーで移籍してボーナスもらうのが1番賢いわな マドリーはそのこと熟知してるからリュディガーもアラバもフリー,neutral (0.766),0.766,強く反対 (0.224),0.224
1173,別にマドリーもちょうど安いから狙ってるわけで めちゃくちゃ欲しいってわけではないでしょ,neutral (0.715),0.715,強く反対 (0.241),0.241
1174,先出しレアルは年俸1500万提示してて 後出しリバポは2000万だから リバポの額に近づけて契約するだろうねえ SBにこんな高給無駄金乙としかw,neutral (0.735),0.735,強く賛成 (0.221),0.221
1175,SBだけど1本のパスで得点生み出せるからなー アーノルド放出はどうやっても補弱よ 市場価値でもRSBで一番高いし,neutral (0.696),0.696,強く反対 (0.232),0.232
1176,アーノルドはパスで得点を生み出せるが守備で一失点するハイリスクハイリターンプレイヤーだからそんなに価値はない,neutral (0.700),0.7,強く反対 (0.215),0.215
1177,マルカの番記者の1人からリバプールがアーノルドに新しいオファーを提示とか言ってるの笑う エドワーズになってより情報統制が厳しくなったから番記者に情報が降りなくなったからな 国内メディアもマルカの情報を引用してるのは酷いな FSGのドケチ路線のお陰でリバプールはお金に困ってないから無理して売る必要がないと言われてるのは皮肉だな FSGは金を持ってる共通認識はあるみたいだな,neutral (0.707),0.707,強く賛成 (0.220),0.22
1178,オーウェンの言うことが本当ならアーノルドはもうレアルに移籍希望を伝えてる 夏にフリー移籍は痛すぎる,neutral (0.709),0.709,強く賛成 (0.241),0.241
1179,正直アーノルドが出ていくことよりもこのピリピリしたムードでこの先半年戦わなきゃいけないことの方がキツい,neutral (0.748),0.748,中立 (0.232),0.232
1180,散々言ってるがアーノルドをサラー並みの高給で引き留めるほどの価値はないんだって 逸材のブラッドリーいるんだからこっち育てれば良い FSGの経営は正しい別にソバスライとかフラーフェンとか実績の割に給与高いし出し渋ってるわけでもない,neutral (0.718),0.718,強く反対 (0.234),0.234
1181,もしアーノルド居なくても何とかなるとは思うけどスカウサーを引き抜かれてクラブのプライドが傷つくこと移籍先が憎きレアルってのがな アンフィールドでブーイングされるアーノルドも見たくないしレアルで泣かず飛ばすのアーノルドも見たくない,neutral (0.685),0.685,強く反対 (0.236),0.236
1182,TAAの話は飽きてきたな レアルは次候補でダロト獲得を検討なんてゴシップも出始めてる 夏に出て行くとなっても続報はシーズン後だろう,neutral (0.730),0.73,強く賛成 (0.238),0.238
1183,出ていくんならシーズン後じゃ困るんだよなぁ ブラッドリー優先して使いたいし,neutral (0.730),0.73,強く賛成 (0.245),0.245
1184,別に困らなくない 契約延長しないなら試合によってブラッドリー優先して使えばいいだけ 冬放出したら右SB出来るのはスペ2人になるんだぞ 今時点でその2人とも怪我してるわけだし,neutral (0.679),0.679,強く反対 (0.236),0.236
1185,レアルは残り1年で安く取れそうなやつに声かけてるだけだからな DFに移籍金出すつもりはないんだろう,neutral (0.715),0.715,強く賛成 (0.238),0.238
1186,スポルティングのCFを獲得要請か テンさんチルドレンで唯一頑張ってるホイルンドも放出かな,neutral (0.771),0.771,強く反対 (0.235),0.235
1187,スポルティングから補強したいとかマジ アモさん鬼かよどういう神経してんだ,neutral (0.790),0.79,強く反対 (0.226),0.226
1188,アモリムが信頼出来る選手だから前監督もそうだった,neutral (0.687),0.687,強く賛成 (0.254),0.254
1189,監督変えてSD切って他所より準備期間が短いこの状態で冬補強なんかしたらカモられるだけ それやったら無能フロント過ぎるからやめてほしい,neutral (0.719),0.719,強く反対 (0.245),0.245
1190,教授にSDとして戻ってきてもらうのはダメなのかね 監督は素人だったけどSDはガチでしょ,neutral (0.699),0.699,強く賛成 (0.242),0.242
1191,ラングニック自らユナイテッドを見限ったから今更ない,neutral (0.796),0.796,中立 (0.229),0.229
1192,ガチだからこそユナイテッドに未来はないと見抜いて見限ったんだよ,neutral (0.745),0.745,強く反対 (0.221),0.221
1193,確かにw 見る目あるわw,neutral (0.771),0.771,強く反対 (0.253),0.253
1194,アモさんスポルティングにお年玉,neutral (0.854),0.854,強く反対 (0.235),0.235
1195,取りたくてもお金使えないんですよ,neutral (0.752),0.752,強く反対 (0.248),0.248
1196,アモリム ラッシュ放出してギェケレシュ欲しい ラッシュ出て行くにも買い手がいないので移籍しません このクラブこんなんばっかだな とにかく契約延長するも新たな選手と契約するにしても他のビッグクラブより年俸安くしないと駄目だわ,neutral (0.681),0.681,強く反対 (0.267),0.267
1197,今一番愚かな動きはギェケレシュに150億だろうな 監督の希望で大金かけて教え子もってくればなんとかなるで同じこと繰り返しまくる気か,neutral (0.748),0.748,強く反対 (0.220),0.22
1198,これやっちゃうと既存の選手への求心力が一気に落ちるんだよな そして教え子が浮く 絶対やらん方がいいやり方,neutral (0.723),0.723,強く反対 (0.234),0.234
1199,ギョケレシュとか絶対通用しないわ 間違いなく金ドブになる,neutral (0.778),0.778,強く反対 (0.221),0.221
1200,通用以前にボールが届かない,neutral (0.727),0.727,強く反対 (0.237),0.237
1201,現状見てストライカーしかも教え子を一番に欲しがるのは大分無能臭してきたぞ,neutral (0.751),0.751,強く反対 (0.236),0.236
1202,ギョケレシュ獲得ソースはミラーだろ,neutral (0.835),0.835,強く反対 (0.237),0.237
1203,この状況だから誰を獲得するにも 足下見られまくりだろうな,neutral (0.766),0.766,強く反対 (0.240),0.24
1204,お金も実力もないけどもうオランダやポルトガルリーグから一か八かでとるのは嫌だ,neutral (0.769),0.769,中立 (0.227),0.227
1205,キエーザにアタランタが興味しめしてるらしいが 移籍金でデケテラレorエデルソン取れたらかなりいい話だなw,neutral (0.754),0.754,強く賛成 (0.230),0.23
1206,キエーザはアレか 寒過ぎて体調崩したのか,neutral (0.780),0.78,強く賛成 (0.232),0.232
1207,でもトリノって暖かいイメージは無いよな イタリア人は気温より天候でメンタルやられるイメージ,neutral (0.748),0.748,強く反対 (0.230),0.23
1208,アタランタ今2位なのに主力を出すわけない 十字じん帯やったスカルヴィーニが狙い目 キエーザクアンサのレンタルでいける,neutral (0.722),0.722,強く反対 (0.222),0.222
1209,アタランタはいま1位やったわ デケテラもエデルソンもほぼフル出場してるから出さないでしょう スカルヴァーニは本来なら100m近く出さないと取れなかったが ACL断裂という大けがあがりなのでギャンブルだが投機的にアリ,neutral (0.656),0.656,中立 (0.237),0.237
1210,キエーザアタランタにローン,neutral (0.953),0.953,強く反対 (0.256),0.256
1211,ヒューズの今のとこの仕事キエーザ獲得とクアンサ契約延長くらいか,neutral (0.791),0.791,強く反対 (0.232),0.232
1212,一応ママルダも,neutral (0.778),0.778,中立 (0.238),0.238
1213,キエーザはまじでつかまされたな 半月板ぶっ壊れててトレーニングの強度が上げられないから いつまでたってもおさぼり,neutral (0.758),0.758,中立 (0.221),0.221
1214,キエーザ昨シーズンは普通に試合に出てるからスタメン争い勝てる気配ないからやる気ないだけだと思うわ,neutral (0.706),0.706,強く反対 (0.249),0.249
1215,ヒューズが焦ってメディカルに無理矢理通させたんだろうな あいつほんと見た目だけはカッコつけてて無能だわ エドワーズも知り合いなのかもしれんが早く切ってくれよ,neutral (0.722),0.722,強く反対 (0.225),0.225
1216,無能なのはエドワーズヒューズ両方だろ 元からエドワーズヒューズコンビで補強やってたんだから,neutral (0.731),0.731,強く賛成 (0.234),0.234
1217,移籍が全部当たるほうが異常だからキエーザ1人ぐらいはむしろ正常 全部当たるなら全チーム最強だ,neutral (0.782),0.782,中立 (0.215),0.215
1218,ちなみに当たり補強とされてる中盤の補強は全部シュマトケというね,neutral (0.748),0.748,強く賛成 (0.231),0.231
1219,シュマトケは遠藤だけな マクアリはウォード案件でソボスライはむしろシュマトケは反対してたけどクラブがゴリ推した フラーフェンベルフは全会一致,neutral (0.766),0.766,強く反対 (0.224),0.224
1220,ヒューズはボーンマスの今の主力の大半を引っ張て来てるんだから見る目はあるんだろ 監督もイラオラやスロットを招聘してるしな ただ交渉能力があるのかどうかは甚だ疑問ではあるw,neutral (0.701),0.701,強く賛成 (0.243),0.243
1221,見る目はあってもゲームチェンジャー()じゃなきゃ補強資金下りないんだからSDもやりようが無いわな無駄に選り好みした挙句スビメンディに逃げられキエーザみたいなアレを掴まされるのが今のリバポ,neutral (0.764),0.764,中立 (0.226),0.226
1222,キーエザってスロットが取ってきたんじゃないの,neutral (0.761),0.761,中立 (0.229),0.229
1223,契約上今スロットに補強権限ほとんどないよ,neutral (0.783),0.783,強く反対 (0.254),0.254
1224,2023年からサウジアラビアのアル・ナスルでプレーするクリスティアーノ・ロナウド かつてリオネル・メッシもプレーしたリーグアン(フランス1部リーグ)よりもサウジリーグのほうが上だという発言を再度したと話題になっている ロナウドはドバイで行われたGlobe Soccer Awardsでこう述べた 簡単なことさ自分がサウジでプレーしているから言ってるわけじゃない他人の考えはどうでもいいサウジに行って見て気温3840度のなかで走ってみるべきだフランスはPSGしかないそれ以外は終わっているそれが自分の意見だ このロナウドの発言にリーグアン公式が反応した スペイン語版の公式Xがメッシは38度のなかでプレーしたというキャプションとともにアルゼンチン代表が2022年カタールW杯で優勝した際の写真を投稿していたのだ 羊(GOAT)の絵文字もそえていたがこれは史上最高選手(Greatest Of All Time)を意味するもの,neutral (0.676),0.676,強く反対 (0.231),0.231
1225,どういうことや 気温40度でサッカーしてるからサウジのが上って事 なんか関係あんの,neutral (0.727),0.727,中立 (0.244),0.244
1226,ならどうしてサウジ代表はそこまで強くないんだろ ラリーガプレミアブンデスセリエAリーグアン リーグが強い国は必ずと言っていいほど強豪国だけど,neutral (0.719),0.719,強く反対 (0.228),0.228
1227,助っ人でレベル上げてるんで代表選手がリーグで出場機会が少ない,neutral (0.764),0.764,強く反対 (0.227),0.227
1228,ロナウドのアル・ナスルはサウナ人の選手23人しか出てないから,neutral (0.678),0.678,強く反対 (0.235),0.235
1229,さすがにそれはないがフランスはトップ選手が長くいるリーグじゃないよ エンバペも遅すぎた,neutral (0.730),0.73,強く反対 (0.231),0.231
1230,でもサウジ代表とフランス代表の試合に全財産賭けるしかないって状況なら誰がサウジに賭けるんだって思うけどな,neutral (0.730),0.73,強く賛成 (0.226),0.226
1231,代表の話してないからw フランスリーグにフランス代表ほとんどいねえじゃんw,neutral (0.743),0.743,強く反対 (0.248),0.248
1232,でも気温の話とレベルの話を結びつけて言うのはなあまあ俺も今のフランス代表嫌いだけど,neutral (0.744),0.744,強く賛成 (0.242),0.242
1233,パリ1強で競争がないって意味合いでいえばフランスよ日本のが上になるなw,neutral (0.796),0.796,中立 (0.234),0.234
1234,Jは世界一競争力があるリーグだぞ ここまで上位が入れ替わるリーグはなかなかない リーグ優勝何度もしている強豪が降格したり,neutral (0.829),0.829,強く反対 (0.219),0.219
1235,根本として実際にリーグ1でプレーした人間が述べるならまだしも感がないか,neutral (0.780),0.78,強く賛成 (0.239),0.239
1236,サウジは観客も少ないみたいだからな,neutral (0.754),0.754,強く反対 (0.228),0.228
1237,これに反応するリーグアンも情けない スルーしとけよ,neutral (0.719),0.719,強く反対 (0.228),0.228
1238,なぜ煽るんだい,neutral (0.757),0.757,強く反対 (0.248),0.248
1239,自分が世界最高の舞台で働いてると思いたいからね ナルシストは特に,neutral (0.762),0.762,強く反対 (0.222),0.222
1240,なんでわざわざこんな発言したんだろw フランス嫌いなのかな 差別されたとか おいらも嫌いだけど,neutral (0.787),0.787,強く反対 (0.236),0.236
1241,スペインでプレーするとフランスリーグのレベルの低さかわかるとどっかの選手が言ってたなそういや,neutral (0.723),0.723,強く賛成 (0.228),0.228
1242,さすがにリーグアンのが上だけど 自国では太刀打ちできないからメッシの名前出すのはクソだせえわ,neutral (0.736),0.736,強く反対 (0.226),0.226
1243,メッシはフランスリーグに碌な思い出無いだろう ネイマールと再会できた事とラモスと共闘した事とエムバペと仲良くなった事くらいかな,neutral (0.808),0.808,強く賛成 (0.224),0.224
1244,これは大げさにしても アル・ヒラルがリーグアンにいたら普通に上位だと思うわ,neutral (0.713),0.713,強く反対 (0.245),0.245
1245,サウジは代表の強化は諦めて リーグを世界最高峰リーグにすればいい外国人枠完全撤廃でスタジアムも練習場も完全空調化で試合のレベルを上げる,neutral (0.721),0.721,強く賛成 (0.224),0.224
1246,プロのサッカー選手にとって暫定路線やからな晩年サウジでプレーは 金もしこたま貰えるしこんな良い天下り先あるかって話で,neutral (0.756),0.756,強く賛成 (0.255),0.255
1247,1金は有るし有力選手も集められるサウジ 2金は無いし有力選手は引き抜かれるフランス ロナウドはフランスを貶してるというよりはもっと頑張れやってハッパかけてるんだろ,neutral (0.715),0.715,中立 (0.230),0.23
1248,この話題に今メッシ関係ねぇ フランスは時が止まってるんですかね (メッシだってかつてプレーしてただけだし),neutral (0.756),0.756,強く反対 (0.231),0.231
1249,ラッシュどこにも行かない,neutral (0.708),0.708,強く反対 (0.270),0.27
1250,ラッシュさんさすがに出ていくんじゃないの ま年俸一部負担のレンタルになるだろうけどさ 冬にこんな高いモン買えるわけないから,neutral (0.780),0.78,中立 (0.225),0.225
1251,本当に衰えたのかユナイテッドのネガティブパワーに引っ張られたのかわからんよね ブルーノとかラッシュも終わったって言わてるけど移籍したら活躍しそう,neutral (0.749),0.749,強く反対 (0.229),0.229
1252,ラッシュはリーグアンやセリエだったら普通に活躍しそう ブルーノはリーグというよりチーム監督に左右されそう どっちも狂った犬のような走るサッカーだと無理だろうな,neutral (0.722),0.722,強く反対 (0.230),0.23
1253,サンチョが活躍したんだから同一リーグなら通用しないとかも無いしな ユナイテッドデバフが強すぎるからラッシュだろうが活躍しないと断定出来ない,neutral (0.756),0.756,強く賛成 (0.226),0.226
1254,馬鹿げている ラッシュフォードが移籍の噂を激しく非難 マンチェスター・ユナイテッドのスター選手は移籍の噂を否定しここ数週間多くの虚偽の記事が書かれてきたがこれは馬鹿げているどのエージェントとも会ったことがないし会う予定もないと述べた,neutral (0.695),0.695,強く賛成 (0.255),0.255
1255,買い取り手もないのか,neutral (0.778),0.778,強く賛成 (0.210),0.21
1256,ラッシュフォードさんの新しい挑戦は終わってしまったのか,neutral (0.843),0.843,強く反対 (0.229),0.229
1257,ラッシュはセリエAで給与払えるところないでしょ リーグ1もパリしか無理だけどいらないだろうし,neutral (0.738),0.738,強く賛成 (0.247),0.247
1258,ラッシュの新しい挑戦はユナイテッドで試合に出ることだろ,neutral (0.732),0.732,強く反対 (0.257),0.257
1259,ラッシュはセリエで活躍しそうと言ってるやつは今までラッシュの何を見てきたのか謎すぎる 一番相性悪いリーグだろ,neutral (0.751),0.751,強く賛成 (0.233),0.233
1260,セリエAの方がプレミアと比べて当たりは弱いが 戦術理解力必要だから脳筋だと難しい,neutral (0.787),0.787,強く反対 (0.228),0.228
1261,フィジカルで優位にたてるならいけるかもだけど今のラッシュフォードはフィジカルも衰えてボディコンタクトも避けるからどうなんでしょうね,neutral (0.726),0.726,強く反対 (0.227),0.227
1262,PSGはラッシュ取りそうだけどな ンバペも消えて人気とか収益かなり落ちたらしいから,neutral (0.782),0.782,強く賛成 (0.236),0.236
1263,ラッシュの給料考えたら取るクラブなんてどこにもいない,neutral (0.695),0.695,強く賛成 (0.227),0.227
1264,レンタルで出すだろ サンチョと一緒 ユナイテッドは損だけど仕方無いじゃん 年俸いくらか削れるし,neutral (0.769),0.769,強く賛成 (0.230),0.23
1265,アモリム ラッシュ放出してギェケレシュ欲しい ラッシュ出て行くにも買い手がいないので移籍しません このクラブこんなんばっかだな とにかく契約延長するも新たな選手と契約するにしても他のビッグクラブより年俸安くしないと駄目だわ,neutral (0.681),0.681,強く反対 (0.267),0.267
1266,年俸安くしたら誰も来なくね,neutral (0.781),0.781,強く反対 (0.231),0.231
1267,これ サンチェスで給与体系ぶっ壊れた時点でもう適正化は詰んでる,neutral (0.674),0.674,強く反対 (0.226),0.226
1268,アモリムがやるべきはラッシュの追放でもベンチ外でもなく ラッシュ先生お願いしますって頭下げてスタメンに戻す事 そもそもさ ギュケレシュがラッシュ好調時と同じような活躍出来るって見立てがお花畑すぎるだろ ホイルンドもザクもそう期待してとっただろうに,neutral (0.716),0.716,強く反対 (0.231),0.231
1269,戦力的にはラッシュフォード必要かもだけどどの監督とも揉めてきたラッシュフォードはチームに悪影響をもたらすと思う,neutral (0.695),0.695,強く反対 (0.248),0.248
1270,勝ったー 最初はモヤモヤしたけど終わってみればって感じだな,neutral (0.710),0.71,強く反対 (0.228),0.228
1271,やっと電話が鳴り始めたジェズス この時期に復活してくれたのはほんとありがたい,neutral (0.805),0.805,強く反対 (0.239),0.239
1272,最初はどうなる事かと思ったけど勝ったぜ,neutral (0.706),0.706,中立 (0.233),0.233
1273,嫌なアウェイ相手だったが逆転勝利は素晴らしい サカ不在でも少し目処が立ってきたからあとは補強や,neutral (0.766),0.766,中立 (0.230),0.23
1274,よーし ヌワネリをワイドでも使えそうなのは収穫だな,neutral (0.759),0.759,強く反対 (0.221),0.221
1275,前半はアレだけど後半は頭にさっさと試合決めてあとは省エネサッカーでよかったね,neutral (0.715),0.715,中立 (0.232),0.232
1276,いやーホーム7勝1敗の相手に勝てたの大きいな 新年最初の試合乙,neutral (0.841),0.841,強く反対 (0.239),0.239
1277,スタートは怪しげだったが終わってみればいい新年の幕開けになったな 過密の1月しっかり戦い抜いてくれ,neutral (0.741),0.741,強く反対 (0.217),0.217
1278,ヌワネリに目処たったしスターリングもういらんやんw,neutral (0.814),0.814,中立 (0.226),0.226
1279,1月は3日に一回試合ありますからね,neutral (0.799),0.799,強く反対 (0.225),0.225
1280,FAカップとカラバオはスターリングに出て欲しいわ じゃないと他の選手過労死してまう,neutral (0.768),0.768,強く反対 (0.224),0.224
1281,よしよし ある程度省エネ出来たのは良かった 次節ティンバー累積は痛い ヌワネリはこっから上げていってくれ ジェズスネ申はケチャドバ頼んます,neutral (0.822),0.822,強く反対 (0.231),0.231
1282,ナイス勝利 ヌワネリは縦に仕掛けて右で上げれるようになれたらもう少しウイングでも活躍できる マルチネッリはカウンターチームのが活躍できそうw,neutral (0.718),0.718,強く反対 (0.236),0.236
1283,カラフィオーリマルティネッリと抱き合ってたけどあんなデカいのか,neutral (0.750),0.75,強く反対 (0.220),0.22
1284,新年1発目でしっかり勝ってスタートできるのは良いこと 過密日程が続くだけに上手くやりくりしながら勝ち点重ねていきたいな,neutral (0.755),0.755,強く反対 (0.246),0.246
1285,60分あたりからかなり省エネで戦えたので選手は助かってたね,neutral (0.724),0.724,強く反対 (0.226),0.226
1286,Brentford (032) 13 (207) Arsenal 前節もイプスウィッチxG015とかだったしいいゲームできてるわ,neutral (0.808),0.808,強く反対 (0.229),0.229
1287,正直リードしてる状況じゃなくてもドン引き相手に後半開始10分だけとかでいいから相手に持たせてみたりすればいいと思うんだけどな とりあえずよく勝った,neutral (0.750),0.75,強く反対 (0.234),0.234
1288,スケリーもほんとは一列前の選手だった記憶 嘘かも,neutral (0.755),0.755,強く反対 (0.229),0.229
1289,スケリーってボランチとか中盤がメインと聞いた記憶,neutral (0.763),0.763,強く賛成 (0.233),0.233
1290,ヌワネリとスケリーはマジで偉すぎだな ただこれで補強せんでええとはならんでくれよ 流石に1718歳の子たちシーズン後半の命運託すのは酷だから,neutral (0.751),0.751,強く反対 (0.218),0.218
1291,完勝と言っていい内容だったわ 最初失点した時はまずいかと思ったけど押し込み続けたのとカットインからのクロスが効いてたわ あれアーセナルだとサカ以外はあんまり効果的じゃないんだけどファー側が徹底して突っ込んでたから DF陣が大きく下がってセカンド取りやすくなってた,neutral (0.726),0.726,強く反対 (0.226),0.226
1292,次も右ヌワネリだね フィジカル負けが目立つけど10番よりいい働きしてる ジンチェンコもWGやな,neutral (0.762),0.762,強く反対 (0.240),0.24
1293,ヌワネリはやっぱりマーク見失いがちな感じあったけど使いながら修正したいな マルティネッリのハードワークとトーマスのアンカーは欠かせなくなってるし次のRBはどうするかなあ,neutral (0.709),0.709,強く反対 (0.222),0.222
1294,次戦はブライトン 殴り合いサッカーか,neutral (0.813),0.813,中立 (0.257),0.257
1295,キーパーのパンチングとか慣れない4バックで跳ね返しが甘かったのがクロス攻撃と噛み合ったな ホーム成績良いとはいえ怪我人多数の状態で当たれてよかったわ,neutral (0.738),0.738,強く反対 (0.240),0.24
1296,次はパーティSBか ホワイトそろそろ練習復帰とかないのかな ヌワネリスケリーに続くアカデミー出てほしいな まあダウマンいるから贅沢すぎるかw,neutral (0.829),0.829,強く反対 (0.236),0.236
1297,次節は左ティアニー右カラフィオーリじゃね 一応右カラフィオーリは試してたし,neutral (0.809),0.809,強く反対 (0.233),0.233
1298,トーマスアンカーがベストなのにSBで使わざるおえない 速いミトマは苦手そうライスがやってくれんか,neutral (0.750),0.75,強く反対 (0.239),0.239
1299,トーマスRBにするしかないよ残念だけど それ以外だとスケリー右とかぶっ飛んだアイデアしかないしアルテタはまず実績ある手段で挑むと思う,neutral (0.746),0.746,強く反対 (0.225),0.225
1300,メリーノってジャカとかジョルジ寄りの選手だと思ってたけど今の所どちらかと言うとウーデとかライス寄りの質より量タイプなんかなー トーマスはここら辺の中盤とはまた違った後から植え付けられたかなり特殊な一例だけど,neutral (0.775),0.775,強く反対 (0.241),0.241
1301,これで折り返しは去年と1ポイント差か ドバイキャンプはできないがなんとか後半戦も去年と同じペースで勝ち点積み上げたいねえ,neutral (0.737),0.737,強く反対 (0.239),0.239
1302,今日のスタメンで3点取って完勝できたのは明るい兆し,neutral (0.768),0.768,強く反対 (0.235),0.235
1303,やっぱジェズスだと分かりやすくマルティネッリが蘇るな やっぱ中に張るハヴァーツとは微妙に相性悪いんだろうね,neutral (0.776),0.776,中立 (0.220),0.22
1304,1月日程えぐくないこれCB怪我したら終わりか,neutral (0.769),0.769,強く反対 (0.229),0.229
1305,ヌワネリはIHよりWGのが適正ありそうね それかトップ下 完成系は多分ムシアラ,neutral (0.811),0.811,強く反対 (0.225),0.225
1306,新年を勝利でスタートさせてくれてありがとうとしか言いようがない,neutral (0.743),0.743,中立 (0.233),0.233
1307,内容,neutral (0.838),0.838,強く反対 (0.226),0.226
1308,カゼミロサウジからオファー,neutral (0.831),0.831,強く反対 (0.244),0.244
1309,頼むサウジ カゼミロを買ってくれ おまけにラッシュもつけるから,neutral (0.732),0.732,中立 (0.228),0.228
1310,ザークツィー デリフト アントニー もおまけでいいぞ,neutral (0.769),0.769,中立 (0.249),0.249
1311,ラッシュフォードをパリFCに60mで売却 アントニーをサウジに50mで売却 ザークツィーをセリエに30mで売却 カゼミーロをサウジに20mで売却 これでだいぶ資金作れるな,neutral (0.737),0.737,強く反対 (0.223),0.223
1312,ラッシュは20mぐらいだろ給与もユナイテッドが半分負担 カゼミロは10mぐらい これぐらいじゃないと足元見られて売れない アントニーに至ってはどこも欲しがらず売れないと思う,neutral (0.720),0.72,中立 (0.230),0.23
1313,とりあえずラッシュカゼミロエリクセンは年俸高過ぎるからさっさと売却かローンでどっか出さんと補強もままならんぞ,neutral (0.761),0.761,強く反対 (0.231),0.231
1314,ロマーノ エリクセンとリンデロフに加えてカゼミロが1月か夏に去る可能性がある クラブは新しい選手を獲得するためには選手を売らなければならず ブラジル人MFは良いオファーがあった場合に備えて利用可能です 理想はこの3人ラッシュを売る事だが現実はまぁね・・・,neutral (0.717),0.717,強く賛成 (0.232),0.232
1315,サウジは期待できないよ どのチームも外国人枠埋まってるから あってローンか激安売り,neutral (0.782),0.782,中立 (0.225),0.225
1316,粛清グレードダウン粛清・・・,neutral (0.765),0.765,強く反対 (0.246),0.246
1317,エリクセンは半年待ちゃフリーなのに金出して欲しがる奴おらんやろ,neutral (0.786),0.786,中立 (0.232),0.232
1318,エリクセンとカゼミロは仕方ないけど 3バックに固執するならリンデロフは右CBでありな気がするんだが,neutral (0.732),0.732,強く賛成 (0.246),0.246
1319,簡単に売れ売れ言うけど 冬にエリクセンもカゼミロも放出して新しい中盤獲ってこれる算段あるのかよ こんな時期にどこのクラブも出さないだろ,neutral (0.747),0.747,強く賛成 (0.223),0.223
1320,金目当てのアガリ待ち選手は世界にたくさんいるから取るのは余裕だよ 難しいのは出すのと活躍すること,neutral (0.752),0.752,強く反対 (0.231),0.231
1321,FC東京にレンタル移籍した荒木遼太郎の復帰も本決まりになりつつあるという 荒木鹿島復帰か,neutral (0.782),0.782,強く反対 (0.239),0.239
1322,エフトーは荒木買取できなかったか,neutral (0.816),0.816,強く反対 (0.220),0.22
1323,荒木鹿島復帰本決まりの記事来ましたね,neutral (0.805),0.805,強く反対 (0.226),0.226
1324,荒木遼太郎は海外いけんかったか まぁ東欧とか2部いくよりかJで圧倒的になってブンデス直行のが賢いけどさ,neutral (0.753),0.753,強く賛成 (0.221),0.221
1325,FC東京にレンタル移籍した荒木遼太郎の復帰も本決まりになりつつあるという 荒木は帰ってきそうなのね,neutral (0.794),0.794,強く反対 (0.224),0.224
1326,この記者ボランチは柴崎小池で知念はベンチみたいに書いてるがやべーな 柴崎の全盛期コレだよ 別人レベルで躍動感全然違うし衰えは顕著だろ,neutral (0.750),0.75,強く反対 (0.234),0.234
1327,そりゃ10年もすりゃ誰だって衰えるだろw パサーとしては未だJ屈指海外移籍がデフォな現在多くは求められんよ,neutral (0.773),0.773,強く反対 (0.226),0.226
